abandonable        quittable
abandoned          resigned quitted
abandoner          relinquisher resigner quitter surrenderer
abased             degraded shamed
abaser             humbler degrader shamer
abashed            shamed embarrassed
abatable           reduceable diminishable
abater             reducer lightener diminisher
abductor           seizor
abettor            assistor
abhorrer           hater despiser loather detester
abhorring          loathing
abider             dweller resider liver stayer
abiding            dwelling living
ableness           capableness competentness skillfulness
ably               capably skillfully
abnormally         unusually
abnormalness       unusualness
abody              residency housy
abolisher          annuller canceler suppresser
aborted            stopped quitted
abounder           teemer swarmer beer overflower
abounding          teeming swarming being overflowing
abrader            grater grazer rubber scourer scuffer
abridgeable        condensable reduceable
abridged           digested condensed compressed reduced
abridger           digester condenser reducer
abruptly           suddenly shortly curtly steeply sheerly
abruptness         suddenness shortness curtness steepness sheerness
absenter           goner
absently           missingly
absentness         goneness awayness
absolutely         thoroughly completely perfectly fixedly
absoluteness       thoroughness completeness perfectness fixedness
absolutist         perfectist
absolvable         excusable relievable pardonable spareable
absolver           excuser reliever pardoner sparer
absorbable         takable
absorbed           incorporated
absorber           taker inner
absorbing          taking inning
abstainer          constrainer refrainer avoider
abstractly         theoretically
abundantly         copiously profusely aboundingly
abusable           injurable damageable
abuser             misuser injurer harmer damager
acceder            assenter agreer consenter
accentor           accentuator
acclaimable        commendable applaudable honorable
acclaimer          commender applauder honorer
accommodately      helply
accommodating      helping comforting
accomplished       executed
accomplisher       doer completer executer fulfiller performer
accordable         harmonizable conformable agreeable
accordance         conformance
accordant          conformant
accorder           harmonizer conformer agreer
according          agreeing
accountable        considerable regardable assessable
accountably        answerably responsibly
accountant         regardant
accounting         considering regarding
accumulator        aggregator collector
accurately         correctly exactly precisely validly genuinely
accurateness       correctness exactness preciseness validness genuineness
accusable          allegeable blamable chargeable
accused            blamed
accuser            alleger blamer charger
achage             forage
acher              hurter throbber longer craver
achievable         attainable reachable
achiever           accomplisher attainer reacher
aching             hurting paining longing craving
achy               hurty
acknowledged       admitted declared
acknowledger       admitter confesser declarer
acquaintant        informant
acquainted         informed advised
acquiescence       concurrence
acquiescer         assenter agreer consenter
acquirable         gettable annexable obtainable achievable
acquirer           getter annexer obtainer achiever
acridly            pungently tangly strongly
acridness          strongness
actioner           executioner
actively           agilely vigorously
activeness         agileness vigorousness
activist           energeticist
actualist          realist
actually           really truly genuinely
actualness         realness veritableness trueness genuineness
acutely            severely sharply astutely
acuteness          severeness sharpness astuteness
adaptable          suitable conformable regulatable fittable adjustable
adapter            conformer fitter adjuster
adaptor            suitor regulator
addicted           slaved toed
additionally       furtherly
additionist        expansionist annexationist
addresser          directer courter wooer greeter
addressor          director
adeptness          cleverness
adequately         effectively
adequateness       effectiveness
adherer            clinger sticker holder
adhesively         tenaciously
adhesiveness       tenaciousness
adjacently         nearly closely nextly touchingly
adjoined           touched bordered
adjoining          touching abutting bordering meeting
adjustable         fixable adaptable regulatable
adjustage          fixage
adjuster           fixer adapter straightener
admirable          esteemable
admirer            esteemer idolizer
admittable         lettable
admittance         inductance
admitted           conceded acknowledged
admitter           letter inner conceder acknowledger
admonisher         warner cautioner adviser
admonitioner       cautioner
adolescency        youthy teensy
adolescently       juvenilely youngly only
adorable           lovable worshipable
adorer             lover worshiper idolizer
adorner            crowner decker enricher garnisher
adulter            upper maturer riper fuller
adultness          upness matureness ripeness fullness
advanceable        gainable
advancer           progresser goer forwarder proceeder gainer
advancing          going forwarding proceeding gaining
adventurer         enterpriser risker
advisable          prescribable recommendable
advised            acquainted
adviser            prescriber recommender
affirmable         allegeable sayable vouchable
affirmer           alleger sayer swearer voucher vower
affixer            fastener attacher
afflicter          besetter troubler burdener
afflicting         besetting troubling
affordable         manageable bearable furnishable
affronted          slighted
affronter          insulter slighter
affronting         insulting slighting
agedly             anciently
agedness           oldness ancientness venerableness
aggravating        worsening irritating
aggravator         irritator
agilely            actively spryly
agileness          nimbleness activeness spryness
agreeable          yieldable consentable
agreeableness      amiableness niceness pleasantness mildness
agreeably          amiably
agreeing           yielding consenting
agreer             yielder consenter coincider
agriculturer       farmer tiller gardener
airtightly         flawlessly
airtightness       flawlessness
alarming           sirening
alarmist           signalist
alertly            watchfully only
alertness          watchfulness
aliener            foreigner stranger
aligner            liner upper straightener arrayer
aliveness          livingness quickness alertness briskness
allayer            lessener soother easer calmer
allegeable         statable assertable affirmable accusable
alleger            stater asserter affirmer accuser
allocatable        dealable rationable apportionable dividable
allottable         appointable assignable distributable
allotter           appointer assigner distributer
allowable          grantable permittable
allower            granter permitter conceder
allurer            charmer enticer tempter
alluring           charming enticing tempting
aloneness          apartness singleness
aloofly            distantly reservedly
aloofness          distantness reservedness
alterable          changeable revisable
alterer            changer reviser tamperer
alternating        substituting
alternatively      choicely
amassable          collectable
amasser            piler upper
amazing            astonishing astounding
ambusher           placer camouflager
amendable          changeable correctable
amender            changer
amiableness        agreeableness
amiably            agreeably
amissness          wrongness illness
amorously          lovingly passionately
amorousness        lovingness
ampleness          largeness copiousness
amusable           entertainable
